"filename", "language", "JavaScript", "JavaScript JSX", "XML", "CSS", "JSON with Comments", "TypeScript JSX", "TypeScript", "JSON", "Properties", "HTML", "YAML", "Python", "Shell Script", "Markdown", "pip requirements", "reStructuredText", "C++", "C", "PowerShell", "comment", "blank", "total"
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/ipv6.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 61, 22, 209
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/message.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1083, 0, 0, 0, 0, 0, 0, 0, 591, 156, 1830
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/name.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 582, 0, 0, 0, 0, 0, 0, 0, 353, 150, 1085
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/namedict.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 45, 18, 110
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/nameserver.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 42, 330
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/node.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 145, 44, 361
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/opcode.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 59, 29, 118
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/query.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 873, 0, 0, 0, 0, 0, 0, 0, 524, 121, 1518
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/quic/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 3, 20, 76
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/quic/_asyncio.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 10, 30, 224
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/quic/_common.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 6, 35, 181
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/quic/_sync.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 6, 31, 227
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/quic/_trio.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 5, 27, 190
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/rcode.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 74, 27, 169
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/rdata.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 522, 0, 0, 0, 0, 0, 0, 0, 256, 112, 890
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/rdataclass.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 48, 28, 119
"/Users/anindyasharma/Desktop/collegiate pickleball hub code/pickleball-matching-v2/app/lib/python3.10/site-packages/dns/rdataset.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 287, 0, 0, 0, 0, 0, 0, 0, 168, 72, 527
